Date,Document Number,Name,Item,Brand,Category,Quantity,Item Rate,Amount (Tax),Amount (Shipping),Amount (Transaction Total),Amount (Discount),Amount,Shipping State/Province
01/01/2022,SO1001,Maple Grocers,Dish Soap,Aurora,Snacks,56,42.93,162.28,36.6,2903.47,0.0,2704.59,NY
01/01/2022,SO1002,Riverside Market,Cola 12pk,Northwind,Beverages,65,28.07,123.16,22.29,2198.07,0.0,2052.62,MA
01/01/2022,SO1003,Maple Grocers,Spring Water 24pk,Vanta,Beverages,91,5.44,33.42,43.31,633.65,0.0,556.92,NY
01/01/2022,SO1004,Birch & Co,Cola 12pk,Northwind,Beverages,104,9.0,63.18,32.54,1148.72,0.0,1053.0,MA
01/01/2022,SO1005,Birch & Co,Hand Lotion,Northwind,Snacks,57,43.74,168.29,41.62,3014.74,0.0,2804.83,CT
01/01/2022,SO1006,Maple Grocers,Trail Mix,Crestline,Personal Care,42,3.03,8.59,49.61,201.37,0.0,143.17,PA
01/01/2022,SO1007,Summit Foods,Trail Mix,Crestline,Household,37,15.78,39.41,26.24,722.49,0.0,656.84,NJ
01/01/2022,SO1008,Lakeside Provisions,Spring Water 24pk,Aurora,Household,112,3.97,30.01,26.24,556.47,0.0,500.22,MD
01/01/2022,SO1009,Willow Distributors,Dish Soap,Crestline,Beverages,46,4.96,15.4,48.69,320.77,0.0,256.68,DE
01/01/2022,SO1010,Birch & Co,Spring Water 24pk,Vanta,Personal Care,19,22.15,28.41,39.26,541.13,0.0,473.46,NJ
01/01/2022,SO1011,Willow Distributors,Dish Soap,Crestline,Snacks,55,19.06,70.76,49.16,1299.26,0.0,1179.34,DE
01/01/2022,SO1012,Maple Grocers,Trail Mix,Aurora,Household,7,39.12,18.48,34.02,360.57,0.0,308.07,NJ
01/01/2022,SO1013,Riverside Market,Hand Lotion,Northwind,Household,77,5.73,29.78,47.44,573.58,0.0,496.36,CT
01/01/2022,SO1014,Summit Foods,Dish Soap,Crestline,Household,64,26.66,115.17,19.27,2053.96,0.0,1919.52,NY
01/01/2022,SO1015,Riverside Market,Cola 12pk,Crestline,Snacks,94,7.1,45.05,34.21,830.08,0.0,750.82,MA
01/01/2022,SO1016,Summit Foods,Hand Lotion,Northwind,Personal Care,115,31.7,246.07,30.5,4377.76,0.0,4101.19,PA
01/01/2022,SO1017,Oakwood Retail,Spring Water 24pk,Northwind,Snacks,12,4.44,3.6,45.47,109.01,0.0,59.94,MD
01/01/2022,SO1018,Oakwood Retail,Hand Lotion,Aurora,Household,40,10.65,28.76,37.77,545.78,0.0,479.25,NJ
01/01/2022,SO1019,Willow Distributors,Dish Soap,Northwind,Snacks,10,11.73,7.92,28.39,168.27,0.0,131.96,DE
01/01/2022,SO1020,Lakeside Provisions,Hand Lotion,Vanta,Snacks,97,43.72,286.26,38.76,5095.96,0.0,4770.94,PA
01/01/2022,SO1021,Harbor Wholesale,Cola 12pk,Northwind,Household,38,19.6,50.27,46.33,934.5,0.0,837.9,DE
01/01/2022,SO1022,Willow Distributors,Hand Lotion,Vanta,Household,99,41.72,278.79,4.42,4929.77,0.0,4646.56,NY
